id,x,y,z,vx,vy,vz
10669,45.049004,41.025182,72.584032,7.857607,7.155757,12.660364
10670,5.396784,0.290357,-21.616517,1.101225,0.059248,-4.410897
10671,203.922575,-492.783542,110.790268,42.595555,-102.933127,23.141984
10672,-35.094084,75.126708,11.166983,-6.189048,13.249037,1.969363
10673,48.072093,99.684543,-70.452628,11.948140,24.776222,-17.510738
10674,-551.481139,500.475493,353.165228,-91.613085,83.139931,58.668473
10675,76.708486,116.883432,-49.263647,14.731123,22.446332,-9.460607
10676,-13.210159,9.238998,-11.316519,-2.681092,1.875118,-2.296765
10677,-1458.126061,-5041.990538,3285.975561,-364.919992,-1261.840931,822.369346
10678,-98.271674,-285.309401,63.006618,-19.150473,-55.599033,12.278274
10679,-130.005947,-87.507337,-165.843932,-24.748664,-16.658389,-31.570984
10680,23.528462,-16.574165,-30.352967,5.461636,-3.847342,-7.045801
10681,397.000763,-149.824144,305.562243,70.985733,-26.789311,54.636066
10682,20.022156,-10.149157,-48.767970,4.328706,-2.194205,-10.543431
10683,30.939052,27.603036,40.589737,7.966583,7.107583,10.451565
10684,-10.194922,-26.656525,1.459989,-2.199705,-5.751540,0.315014
10685,-92.033890,18.150169,-70.604909,-19.961761,3.936695,-15.313906
10686,-245.482230,-41.272136,-95.041815,-209.002289,-35.138882,-80.918105
10687,99.442445,-104.383877,149.806247,21.567466,-22.639183,32.490564
10688,-18.763552,15.938789,-59.240863,-3.184649,2.705215,-10.054670
10689,-918.779539,2922.255924,2846.875019,-196.758142,625.805890,609.662946
10690,86.962620,-89.871929,45.253974,20.258820,-20.936573,10.542370
10691,-28.816635,111.395253,-641.745995,-4.799861,18.554620,-106.892824
10692,15.740781,-4.490265,-18.149817,3.186672,-0.909040,-3.674373
10693,98.318202,81.713664,42.668244,16.778662,13.944986,7.281623
10694,51.973213,6.893291,-12.110138,10.495631,1.392052,-2.445559
10695,10.134087,-26.772885,-14.726856,2.230726,-5.893275,-3.241691
10696,124.900169,-326.758511,248.534530,31.041101,-81.208408,61.767614
10697,-32.866903,-25.597931,-50.058845,-8.056063,-6.274353,-12.270009
10698,-9.233165,30.812456,34.261074,-1.940382,6.475347,7.200086
10699,4654.308684,8114.679686,-6920.122964,1069.900418,1865.346666,-1590.750196
10700,1.514378,-40.416349,45.472018,0.271537,-7.246883,8.153394
10701,37.083723,-47.031723,73.013657,7.142800,-9.058912,14.063366
10702,19.660945,-39.845338,-21.087906,4.475185,-9.069516,-4.799987
10703,-707.457885,-874.199156,-788.178350,-137.860676,-170.353161,-153.590486
10704,-30.075623,21.187047,3.352149,-6.376564,4.492029,0.710715
10705,69.630680,80.934422,-23.414974,14.819513,17.225290,-4.983414
10706,6.643691,0.808107,-5.939424,1.636730,0.199084,-1.463228
10707,-763.957692,178.464633,424.593674,-166.209286,38.827385,92.376073
10708,51.106985,-11.020060,15.913860,10.511831,-2.266637,3.273208
10709,-2181.348988,2554.785608,-2125.767111,-615.992277,721.447238,-600.296482
10710,-32.325863,-37.439030,-62.078766,-6.244644,-7.232395,-11.992248
10711,127.995214,-236.841427,-221.297807,33.072050,-61.196285,-57.180046
10712,4304.669328,1373.850026,-7144.268240,910.383018,290.551872,-1510.922207
10713,715.994833,-943.494608,-1797.187154,160.858907,-211.970121,-403.764870
10714,49.053100,-18.972586,-22.784675,9.998450,-3.867165,-4.644180
10715,-36.497086,48.873456,43.132634,-9.708965,13.001330,11.474155
10716,65.634053,38.706608,-70.612982,13.969392,8.238220,-15.029095
10717,80.120228,69.550816,63.893013,14.168681,12.299557,11.299016
10718,-28.247565,43.140795,2.987086,-6.087556,9.297155,0.643739
10719,1.088678,-48.704470,-18.949940,0.209656,-9.379434,-3.649351
10720,2.792780,36.514801,-82.767150,0.588877,7.699400,-17.452031
10721,6.103940,-40.960589,-1.256397,1.232368,-8.269823,-0.253663
10722,70.179053,-15.514568,95.125343,12.834409,-2.837318,17.396609
10723,20.611955,-59.061941,77.051962,4.932930,-14.134925,18.440365
10724,-2.326359,-13.314447,-44.945788,-0.458653,-2.625010,-8.861288
10725,213.594812,335.943159,-147.399732,52.352458,82.340250,-36.127930
10726,-8.574388,7.784789,5.666318,-2.260988,2.052778,1.494157
10727,-20.623764,33.084814,-86.967818,-4.589049,7.361791,-19.351442
10728,3615.231643,-3582.540864,1783.000122,990.470405,-981.514064,488.491203
10729,217.195251,-158.694090,359.329954,43.868713,-32.052752,72.576830
10730,26.990029,-8.040029,37.682918,5.653364,-1.684074,7.893109
10731,9.039119,-0.885600,-10.282548,2.063735,-0.202193,-2.347624
10732,-3.198314,2.600711,-10.466409,-0.606802,0.493421,-1.985744
10733,23.097480,0.862494,-14.853538,5.332839,0.199136,-3.429445
10734,-667.524811,-697.655205,429.403338,-162.486173,-169.820391,104.523613
10735,-6847.542929,3061.796082,-5950.917435,-1508.903806,674.688105,-1311.326130
10736,-64.640696,12.338701,35.731455,-13.136683,2.507547,7.261568
10737,1905.641689,1353.314629,1965.026201,471.949259,335.160508,486.656366
10738,34.568452,4.196069,29.848776,7.867848,0.955034,6.793641
10739,-6.205192,23.769592,-37.936346,-1.354150,5.187205,-8.278795
10740,-26.848911,66.696762,-48.961234,-5.591589,13.890355,-10.196731
10741,55.810859,24.793873,-47.679342,13.088888,5.814715,-11.181866
10742,-220.513454,252.117442,-156.670935,-38.249153,43.731022,-27.175351
10743,31.283648,-7.058145,30.747979,7.829147,-1.766394,7.695088
10744,-22.264895,35.271756,-67.874895,-4.142095,6.561852,-12.627243
10745,94.781696,-5.297615,113.601588,15.539097,-0.868524,18.624547
10746,3648.902816,2734.674758,3628.052244,1176.528991,881.751117,1169.806066
10747,133.117448,-69.860910,144.580291,26.018335,-13.654593,28.258794
10748,-53.448378,21.014051,35.345837,-9.425512,3.705785,6.233166
10749,-194.528143,89.702891,-195.301298,-38.020441,17.532391,-38.171554
10750,-1006.067846,-844.808305,-566.023155,-260.882490,-219.066433,-146.774922
10751,-2898.382392,-1007.779282,1831.345081,-596.174570,-207.292309,376.693347
10752,26.529120,-21.233599,16.022816,5.957462,-4.768283,3.598134
10753,232.695413,-249.422637,24.396889,49.677116,-53.248137,5.208384
10754,67.240463,-12.917811,-54.460985,15.357402,-2.950367,-12.438630
10755,2.170238,-9.484001,12.192858,0.473733,-2.070225,2.661530
10756,731.367858,-5253.485226,-3955.297050,134.122308,-963.413355,-725.344383
10757,-473.011469,339.964576,352.055325,-99.108911,71.231928,73.765272
10758,-645.365768,130.618575,71.186621,-126.883097,25.680459,13.995752
10759,-96.670862,-784.191512,164.542347,-15.847647,-128.555699,26.974095
10760,111.799643,118.682047,52.996798,26.573928,28.209823,12.596937
10761,0.080061,6.247365,1.541761,0.012064,0.941350,0.232312
10762,-68.402762,45.305392,-50.633148,-18.742879,12.414024,-13.873869
10763,59.708835,357.352620,183.001718,13.242333,79.254309,40.586451
10764,57.137595,9.381450,-20.675156,10.690114,1.755215,-3.868202
10765,45.045866,-139.465961,-19.140146,8.284925,-25.650856,-3.520294
10766,72.556433,73.037684,-248.913495,14.699501,14.796999,-50.428390
10767,12.815492,-20.278396,8.634674,3.018394,-4.776109,2.033699
10768,-92.400819,43.026858,-87.755208,-18.060785,8.410086,-17.152748
10769,22.652351,40.434963,-7.503782,4.927921,8.796451,-1.632415
10770,-6033.253788,690.192793,-7110.102271,-1148.468273,131.382593,-1353.453239
10771,3.147282,-0.629646,4.535552,0.403590,-0.080742,0.581614
10772,-5.106614,50.120609,-22.573818,-0.952463,9.348272,-4.210367
10773,6.167134,2.717185,-2.656125,1.171508,0.516156,-0.504557
