id,x,y,z,vx,vy,vz
2916,32.827296,-19.981425,-37.890644,8.512980,-5.181708,-9.826039
2917,-16.016281,-11.307721,-2.664678,-3.798616,-2.681877,-0.631987
2918,51.771269,-27.495123,3.860948,9.685849,-5.144042,0.722342
2919,37.715221,376.524093,155.103352,7.526526,75.139910,30.952739
2920,1.106715,-16.093310,72.889056,0.196803,-2.861813,12.961586
2921,-74.352750,-38.583775,-3.339377,-14.928954,-7.747062,-0.670498
2922,-26.240182,-3.028968,26.153715,-6.087885,-0.702739,6.067824
2923,-50.126532,-34.349003,47.411093,-12.119658,-8.304947,11.463116
2924,39.420682,32.280106,-24.183483,7.726443,6.326892,-4.739956
2925,-3.622000,7.313616,3.345122,-0.775581,1.566069,0.716293
2926,15.697241,44.292249,-35.535374,4.519751,12.753192,-10.231801
2927,-28.154200,71.438523,-62.774199,-6.367363,16.156559,-14.197033
2928,-18.006041,-9.058319,37.478869,-3.507464,-1.764504,7.300649
2929,1617.508685,-1575.117060,-2961.495055,320.861810,-312.452672,-587.465572
2930,1479.341125,215.310028,-285.601486,313.840330,45.677747,-60.589990
2931,-2391.058258,-1234.541157,-3033.172586,-584.024830,-301.541247,-740.863631
2932,120.215142,-33.976238,-18.940487,23.019046,-6.505841,-3.626764
2933,-27.487073,-20.209893,16.419017,-6.253951,-4.598223,3.735710
2934,-1320.347374,193.446576,-1027.332280,-312.761453,45.823268,-243.352577
2935,129.732882,250.815726,224.037953,29.530013,57.091089,50.995889
2936,102.854501,-47.085526,-59.514143,24.867250,-11.383921,-14.388802
2937,4.077309,1.776140,-3.465774,0.835030,0.363752,-0.709788
2938,-3513.147134,-1471.881473,-597.763008,-558.127728,-233.835314,-94.965595
